#SKILL
Name         reserved~
Type         Spell
Info	      0
Flags        0
Minpos       8
Dammsg       ~
Wearoff      ???~
Minlevel     51
End

#SKILL
Name         'radiance'~
Type         unknown
Info	      0
Flags        0
Guild        0
Code         spell_smaug
Dammsg       ~
Minlevel     51
End

#SKILL
Name         backkick~
Type         unknown
Info	      0
Flags        0
Guild        0
Code         spell_smaug
Dammsg       ~
Minlevel     51
End

#SKILL
Name         control flames~
Type         unknown
Info	      0
Flags        0
Target       4
Slot         338
Mana         15
Rounds       12
Code         spell_control_flames
Dammsg       ~
Minlevel     51
End

#SKILL
Name         ethereal strike~
Type         unknown
Info	      0
Flags        0
Guild        0
Code         spell_smaug
Dammsg       ~
Minlevel     51
End

#SKILL
Name         mind bash~
Type         unknown
Info	      0
Flags        0
Guild        0
Code         spell_smaug
Dammsg       ~
Minlevel     51
End

#SKILL
Name         molecular healing~
Type         unknown
Info	      0
Flags        0
Guild        0
Code         spell_smaug
Dammsg       ~
Minlevel     51
End

#SKILL
Name         psi blade~
Type         unknown
Info	      0
Flags        0
Guild        0
Code         spell_smaug
Dammsg       ~
Minlevel     51
End

#SKILL
Name         syphon~
Type         unknown
Info	      0
Flags        0
Guild        0
Code         spell_smaug
Dammsg       ~
Minlevel     51
End

#SKILL
Name         ultimate protection~
Type         unknown
Info	      0
Flags        203489280
Minpos       8
Slot         347
Mana         2000
Rounds       12
Guild        0
Dammsg       ~
Wearoff      The power of the gods fades from your being~
Hitchar      You bestow the gods protection on $N~
Hitvict      You are bestowed with the highest protection of the gods!~
Affect       'l*30' 27 '8192' -1
Affect       'l*30' 26 'sanctuary' 7
Affect       'l*30' 17 '-50' -1
Affect       '' 14 '30000' -1
Affect       '' 12 '30000' -1
Affect       '' 13 '30000' -1
Minlevel     51
End

#SKILL
Name         unknown2~
Type         unknown
Info	      0
Flags        0
Mana         60
Rounds       12
Guild        0
Code         spell_smaug
Dammsg       ~
Wearoff      unknown~
Hitvict      A forcefield rises to protect you!~
Hitroom      A magic shield rises to protect $N~
Minlevel     51
End

#SKILL
Name         Devils Hand~
Type         Spell
Info	      0
Flags        4194700
Target       1
Minpos       8
Mana         50
Rounds       8
Code         spell_smaug
Dammsg       Devil's Hand~
Wearoff      !Devils Hand!~
