#SOCIAL
Name        accuse~
CharNoArg   Accuse whom?~
OthersNoArg $n is in an accusing mood.~
CharFound   You look accusingly at $M.~
OthersFound $n looks accusingly at $N.~
VictFound   $n looks accusingly at you.~
CharAuto    You accuse yourself.~
OthersAuto  $n seems to have a bad conscience.~
End

#SOCIAL
Name        ack~
CharNoArg   Ack thptt!!!~
OthersNoArg $n goes ack thptt!!!~
CharFound   You spit on $M for your mistake.~
OthersFound $n spits on $N for their mistake.~
VictFound   $n spits on you.~
CharAuto    You go ack thptt!!!~
OthersAuto  & goes ack thptt after $m's mistake~
End

#SOCIAL
Name        addict~
CharNoArg   You stand and admit to all in the room, 'Hi, I'm $n, and I'm a mud addict.'~
OthersNoArg $n stands and says, 'Hi, I'm $n, and I'm a mud addict.'~
CharFound   You feel the need to tell $N about the 12-step program for mud addicts.~
OthersFound $n starts preaching the 12-step mud-addiction program to $N.~
VictFound   $n thinks you need to seek help for your mud addiction.~
CharAuto    You stand and admit to all in the room, 'Hi, I'm $n, and I'm a mud addict.'~
OthersAuto  $n stands and says, 'Hi, I'm $n, and I'm a mud addict.'~
End

#SOCIAL
Name        adjust~
CharNoArg   You reach down and "adjust" yourself.~
OthersNoArg $n reaches down and "adjusts" $mself.~
CharFound   You reach over and "adjust" $N.~
OthersFound $n reaches over and swiftly "adjusts" $N.~
VictFound   $n reaches down and "adjusts" you.~
CharAuto    You reach down and "adjust" yourself.~
OthersAuto  $n reaches down and "adjusts" $mself.~
End

#SOCIAL
Name        adore~
CharNoArg   You are looking for someone to adore!~
OthersNoArg $n is looking for someone to adore!~
CharFound   You look at $N with adoring eyes.~
OthersFound $n looks at $N with adoring eyes.~
VictFound   $n looks at you with adoring eyes.~
CharAuto    Aww! You adore yourself!~
OthersAuto  $n adores $mself soooo much!~
End

#SOCIAL
Name        agree~
CharNoArg   You nod in total agreement.~
OthersNoArg $n nods in total agreement.~
CharFound   You nod in agreement with $N.~
OthersFound $n nods in agreement with $N~
VictFound   $n nods in agreement with you.~
CharAuto    You nod in agreement with yourself, I certainly hope you agree!~
OthersAuto  $n nods in agreement with $mself, the moron.~
End

#SOCIAL
Name        apologize~
CharNoArg   You apologize for your behavior.~
OthersNoArg $n apologizes for $s rude behavior.~
CharFound   You apologize to $M.~
OthersFound $n apologizes to $N.~
VictFound   $n apologizes to you.~
CharAuto    You apologize to yourself.~
OthersAuto  $n apologizes to $mself.  Hmmmm.~
End

#SOCIAL
Name        applaud~
CharNoArg   Clap, clap, clap.~
OthersNoArg $n gives a round of applause.~
CharFound   You clap at $S actions.~
OthersFound $n claps at $N's actions.~
VictFound   $n gives you a round of applause.  You MUST'VE done something good!~
CharAuto    You applaud at yourself.  Boy, are we conceited!~
OthersAuto  $n applauds at $mself.  Boy, are we conceited!~
End

#SOCIAL
Name        bark~
CharNoArg   Woof!  Woof!~
OthersNoArg $n barks like a dog.~
CharFound   You bark at $M.~
OthersFound $n barks at $N.~
VictFound   $n barks at you.~
CharAuto    You bark at yourself.  Woof!  Woof!~
OthersAuto  $n barks at $mself.  Woof!  Woof!~
End

#SOCIAL
Name        bbl~
CharNoArg   You announce that you will be back later.~
OthersNoArg $n announces that $e'll be back later.~
CharFound   You inform $M that you will be back later.~
OthersFound $n informs $N that $e will be back later~
VictFound   $n informs you that $e will be back later~
CharAuto    You mumble to yourself that you'll be back later.~
OthersAuto  $n mumbles to $mself that $e'll be back later.~
End

#SOCIAL
Name        bearhug~
CharNoArg   You hug a grizzly bear.~
OthersNoArg $n hugs a flea-infested grizzly bear.~
CharFound   You bearhug $M.~
OthersFound $n bearhugs $N.  Some ribs break.~
VictFound   $n bearhugs you.  Wonder what's coming next?~
CharAuto    You bearhug yourself.~
OthersAuto  $n bearhugs $mself.~
End

#SOCIAL
Name        bed~
CharNoArg   You're really tired and ready to go to bed.~
OthersNoArg $n is tired and is ready to go to bed.~
CharFound   You ask $N to go to bed with you.~
OthersFound $n asks $N to go to bed with $m.~
VictFound   $n asks you if you'd like to go to bed with $m.~
CharAuto    You hop into bed with yourself..... too sad :(~
OthersAuto  $n has nobody to go to bed with.~
End

#SOCIAL
Name        beer~
CharNoArg   You down a cold, frosty beer.~
OthersNoArg $n downs a cold, frosty beer.~
CharFound   You draw a cold, frosty beer for $N.~
OthersFound $n draws a cold, frosty beer for $N.~
VictFound   $n draws a cold, frosty beer for you.~
CharAuto    You draw yourself a beer.~
OthersAuto  $n draws $mself a beer.~
End

#SOCIAL
Name        beg~
CharNoArg   You beg the gods for mercy.~
OthersNoArg The gods fall down laughing at $n's request for mercy.~
CharFound   You beg $N for just that little more.~
OthersFound $n begs $N for a little more...you know.~
VictFound   $n begs you to continue whatever it is that you do so well.~
CharAuto    Begging yourself for money doesn't help.~
OthersAuto  $n begs himself for money.~
End

#SOCIAL
Name        behead~
CharNoArg   You look around for some heads to cut off.~
OthersNoArg $n looks around for some heads to cut off.~
CharFound   You try to behead $N. THERE CAN BE ONLY ONE.~
OthersFound $n does a Highlander impression and cuts off a few heads.~
VictFound   $n gets out his best beheading sword and admires your neck.~
CharAuto    I really don't think you want to do that...~
OthersAuto  $n is so desperate for exp that $e tries to decapitate $mself!~
End

#SOCIAL
Name        bingo~
CharNoArg   You declare that you've found a winner.~
OthersNoArg WELL HOT DOG FOLKS, WE HAVE A WINNER!~
CharFound   You declare $N the winner.~
OthersFound HOT DAMN, $N's GOT IT!~
VictFound   YEEHAW! $n declares you the winner.~
CharAuto    You jump up and scream that you've got a bingo!~
OthersAuto  $n yells out BINGO for no good reason.~
End

#SOCIAL
Name        bitch~
CharNoArg   You start to bitch about life, the universe, and everything.~
OthersNoArg $n starts to bitch about life, the universe, and everything.~
CharFound   You pat $N on the head and say, "Nice little bitch..."~
OthersFound $n pats $N on the head and says, "Nice little bitch..."~
VictFound   $n pats you on your head and says, "Nice little bitch.." You fume with anger...~
CharAuto    So, you think you are a bitch huh? Ok by me...~
OthersAuto  $n thinks $e is a bitch, what self esteem.~
End

#SOCIAL
Name        biteneck~
CharNoArg   You look for someoen to bite.~
OthersNoArg $n looks around for someone to bite.~
CharFound   You bite $N on the neck.~
OthersFound $n bites $N on the neck.~
VictFound   $n bites you on the neck.~
CharAuto    Bite yourself on the neck? I'd certainly like to see that!~
OthersAuto  $n spins in circles as $e tries to bite $mself on the neck.~
End

#SOCIAL
Name        bkiss~
CharNoArg   Blow a kiss to whom?~
OthersNoArg $n blows at $s hand.~
CharFound   You blow a kiss to $M.~
OthersFound $n blows a kiss to $N.  Touching, ain't it?~
VictFound   $n blows a kiss to you.  Not as good as a real one, huh?~
CharAuto    You blow a kiss to yourself.~
